,Age_of_Car,Mileage,MPG,Resale_Price
0,3,35117,22,527070
1,2,35711,27,402390
2,4,36296,19,637613
3,5,38329,21,530279
4,2,36852,22,500307
5,3,41933,18,658046
6,4,36295,31,306479
7,8,39445,18,539277
8,3,37562,33,249914
9,6,32583,21,507295
10,8,32026,29,293562
11,5,32523,24,513363
12,5,38829,19,614818
13,2,36834,19,602762
14,3,41538,29,411448
15,8,38334,19,543982
16,5,41703,27,437998
17,2,33486,25,519564
18,2,33185,31,306671
19,4,38978,20,547901
20,2,38978,29,383938
21,7,41082,32,269660
22,2,31374,21,595537
23,2,41780,25,455362
24,6,40387,23,428744
25,3,34834,24,519529
26,2,33493,28,426779
27,3,37738,32,257472
28,2,33483,29,386220
29,8,39979,30,308203
30,2,33301,30,325019
31,8,32031,26,398178
32,3,36996,23,567877
33,6,39748,27,340006
34,2,38588,26,452867
35,8,32400,32,193962
36,6,41847,21,503128
37,3,41555,26,386194
38,2,39145,31,329190
39,3,38927,22,515405
40,2,36583,31,287263
41,7,38593,23,455189
42,5,33036,25,494661
43,5,35221,33,244754
44,3,30873,23,489734
45,7,33494,30,320788
46,8,39409,26,434267
47,2,40060,19,656537
48,6,40168,18,659237
49,2,32334,29,372154
50,2,32789,25,522028
51,4,31768,25,424042
52,2,36283,26,428570
53,3,36765,28,428451
54,3,35095,27,444277
55,3,38956,31,359702
56,5,35481,27,442113
57,3,33731,23,550289
58,7,34892,28,321398
59,2,38509,23,498913
60,5,39739,31,257527
61,8,38643,31,280850
62,2,41551,28,422062
63,7,41984,26,376559
64,2,39713,25,502110
65,2,37931,25,454768
66,2,30019,19,581360
67,2,30676,31,278700
68,6,33274,29,348686
69,6,34149,25,470709
70,5,34593,21,566559
71,2,38339,18,661448
72,6,38343,22,486320
73,3,32521,24,444813
74,7,34854,21,528853
75,7,36100,29,287114
76,2,32399,33,235579
77,7,37226,26,409931
78,6,40830,18,594179
79,8,31835,24,428504
80,2,41737,20,596133
81,2,38905,21,545517
82,4,31526,30,294575
83,2,36639,29,356929
84,6,38419,27,345942
85,7,36177,32,266873
86,3,37472,24,534666
87,2,32186,30,400294
88,5,37133,27,338549
89,2,31620,21,528227
90,3,41030,18,633262
91,6,37460,19,633239
92,7,37207,32,279307
93,6,34200,33,197692
94,2,36333,21,624120
95,2,30603,27,426384
96,2,35581,26,467980
97,5,36664,20,618289
98,2,32246,25,458431
99,6,33301,33,258549
100,6,37883,33,214640
101,4,31813,23,467639
102,5,38668,28,320979
103,6,32534,25,434168
104,4,36479,20,625969
105,7,31208,21,513084
106,7,30496,30,282005
107,6,36101,27,384220
108,7,37655,25,388004
109,4,39868,26,465593
110,5,39366,18,568015
111,3,31377,26,430018
112,6,39522,30,313692
113,3,30640,29,401510
114,2,30850,22,518546
115,8,37303,29,297857
116,8,32256,27,353936
117,4,31699,26,456411
118,6,33769,23,449684
119,4,34466,19,614534
120,8,35877,18,564287
121,7,31046,26,447061
122,2,31226,30,325527
123,4,34921,29,326891
124,2,36373,20,565147
125,2,36488,18,693170
126,7,40567,32,191689
127,2,39433,21,612001
128,3,35721,33,310197
129,2,35502,29,415229
130,3,33297,22,518917
131,3,39826,30,345271
132,6,40297,20,523312
133,4,30524,24,432988
134,6,41101,22,549537
135,3,40745,29,373261
136,3,41398,25,436076
137,8,40593,24,484663
138,2,31136,27,394417
139,3,39237,27,376685
140,7,36776,21,539591
141,2,39773,24,544545
142,8,40722,32,262112
143,3,31418,18,645798
144,3,41153,24,498951
145,3,31542,18,599854
146,2,37121,32,321284
147,4,36258,22,536583
148,2,30038,21,530695
149,3,38972,22,546029
150,2,41853,20,612000
151,5,36093,27,359851
152,6,39091,30,299977
153,7,35955,33,216389
154,6,38324,26,384315
155,3,37642,30,317758
156,2,39454,22,504452
157,2,33918,22,562888
158,3,41181,18,616545
159,8,40626,29,349905
160,3,31172,30,395065
161,2,40043,21,584747
162,6,31772,25,438693
163,4,34721,33,232007
164,6,33134,20,615336
165,2,39635,19,615613
166,2,30547,30,327956
167,4,37810,26,445151
168,2,38585,30,370213
169,6,39969,28,333894
170,7,35055,31,319543
171,2,32319,28,434286
172,2,40259,29,329874
173,2,40149,32,296481
174,7,38480,32,235491
175,2,36051,21,586777
176,4,37905,18,596318
177,5,38206,26,417837
178,6,31615,28,350240
179,3,31366,31,353467
180,2,33725,30,356216
181,3,38094,26,401993
182,2,31868,19,663691
183,5,34271,18,605016
184,2,38867,25,478391
185,5,37441,28,396996
186,2,37124,26,433416
187,2,33262,31,368960
188,3,39429,28,405545
189,4,37569,25,401354
190,3,30736,19,671710
191,4,40489,30,309080
192,6,40621,18,651333
193,6,30455,18,568569
194,2,31447,20,556806
195,5,31991,23,466246
196,4,36085,25,421553
197,2,41413,31,349879
198,3,32920,18,607619
199,5,31521,24,477125
200,3,35791,27,378899
201,2,40848,32,346856
202,3,34770,26,484015
203,3,37551,30,305990
