Verbal,Quantitative,Analytical_Writing,CGPA,Age,Admitted
490,760,3.5,4.53,31,0
710,800,4.0,4.85,31,1
680,680,4.0,4.64,22,0
590,690,2.0,3.31,23,0
570,780,3.0,4.38,24,0
660,690,4.0,3.32,22,0
480,770,2.5,4.61,24,0
700,800,3.0,3.49,22,1
650,700,6.0,3.63,24,0
520,740,5.0,3.36,22,0
700,800,3.0,3.79,42,1
520,720,2.5,3.94,22,0
720,800,5.0,4.64,20,1
490,740,4.5,3.73,23,0
630,760,4.0,3.98,24,1
570,760,3.0,3.95,22,0
670,770,2.5,4.15,22,1
590,760,5.5,4.73,21,0
680,800,3.5,3.85,23,1
570,750,3.5,4.56,25,0
590,690,4.0,4.09,23,0
700,800,5.5,4.18,22,1
510,800,2.0,3.59,24,0
660,760,6.0,4.54,36,1
600,770,3.5,3.48,24,1
490,680,2.0,4.8,21,0
520,700,4.5,4.42,22,0
580,730,4.5,4.66,22,0
720,730,3.5,4.19,22,0
590,690,2.0,3.91,20,0
540,780,6.0,3.92,24,0
680,690,2.0,4.45,21,0
560,770,4.0,3.38,21,0
690,780,2.0,4.73,22,1
500,680,3.5,3.86,21,0
600,760,4.5,3.87,22,1
480,690,3.5,4.51,23,0
490,710,5.0,4.81,21,0
630,780,4.5,3.58,31,1
630,770,5.0,4.79,23,1
580,720,5.5,3.7,21,0
610,740,3.5,4.84,42,0
710,700,4.0,4.07,25,0
650,740,5.5,3.39,20,0
650,780,5.5,3.65,22,1
520,800,3.5,3.46,22,0
690,770,5.5,3.57,21,1
500,740,5.5,3.51,24,0
590,730,3.5,4.44,23,0
690,680,3.0,3.54,25,0
530,800,5.5,4.14,23,0
650,770,3.5,4.46,24,1
530,790,4.0,3.52,21,0
500,750,2.0,4.35,42,0
530,740,5.0,4.77,24,0
540,740,3.5,3.92,22,0
720,730,6.0,4.82,22,0
670,690,4.0,4.69,22,0
580,690,3.0,3.6,23,0
570,720,6.0,3.73,21,0
600,800,2.5,4.37,31,1
710,780,4.5,4.64,24,1
480,780,6.0,4.46,21,0
500,800,6.0,4.6,23,0
710,780,6.0,4.75,22,1
490,770,6.0,3.87,21,0
590,690,4.5,4.15,31,0
640,760,6.0,3.62,24,1
710,800,5.5,4.78,24,1
700,800,3.5,4.39,31,1
570,800,3.0,4.43,25,0
490,740,2.5,4.27,23,0
490,710,6.0,3.34,25,0
570,770,5.5,3.67,31,0
670,750,5.5,3.74,24,1
670,800,4.0,3.82,24,1
580,780,2.0,4.07,36,0
530,700,5.5,3.53,42,0
590,800,3.5,4.8,21,0
660,750,2.0,3.54,22,1
640,790,5.5,4.44,36,1
480,760,2.5,4.44,24,0
690,700,5.5,3.4,23,0
680,800,3.5,4.74,21,1
660,700,3.0,4.34,21,0
620,760,3.5,4.09,31,1
610,760,4.5,4.69,22,1
700,720,5.0,4.16,36,0
580,750,3.5,3.4,22,0
510,730,4.5,4.26,22,0
560,780,3.0,4.06,22,0
670,700,2.0,4.15,24,0
640,680,5.5,3.71,25,0
540,690,3.5,4.74,21,0
700,750,5.5,4.44,24,1
480,720,2.0,3.59,23,0
660,800,6.0,4.2,21,1
720,700,3.5,3.98,23,0
610,750,2.0,4.12,22,1
540,680,3.5,4.68,22,0
480,720,3.0,4.13,21,0
520,760,4.5,4.62,23,0
720,760,2.0,3.85,36,1
700,680,2.5,4.38,22,0
680,710,3.5,3.34,24,0
530,690,3.0,3.4,24,0
610,690,5.5,4.3,42,0
530,750,3.5,4.69,36,0
620,740,2.5,4.28,24,0
600,700,6.0,3.36,22,0
620,730,4.0,3.47,36,0
640,730,5.0,4.6,31,0
650,720,2.0,4.44,24,0
530,700,5.5,3.35,22,0
690,790,3.0,3.38,23,1
540,780,4.5,4.49,24,0
620,790,4.0,3.32,24,1
490,770,4.0,4.67,21,0
510,790,3.0,3.78,23,0
490,680,2.0,4.0,21,0
610,770,2.5,4.84,22,1
650,790,3.5,3.5,21,1
560,760,2.0,4.11,23,0
620,720,5.5,3.77,20,0
720,710,4.0,4.32,22,0
610,770,4.5,4.03,22,1
530,720,3.5,3.53,31,0
